timestamp,image_response,url,designer,temporada,year,tipo,pasarela
2024_03_06_17_42,"Ropa:

Número de piezas: 1
Prenda principal:
Tipo: Vestido
Color: Negro
Material: Vinilo o algún tipo de material sintético con acabado brillante similar al charol
Categoría: Alta costura
Diseño: Ajustado con cortes estructurales
Textura: Liso y brillante
Estampado: Ninguno
Mangas: Manga corta inflada
Cuello: Babero decorativo grande de color blanco
Escote: Ninguno visible debido al añadido del babero/cuello
Largo: Corto
Detalles: Babero/cuello blanco con textura y bordados simétricos, cinturón integrado en la prenda con detalle de hebilla, hombros estructurados

Zapatos:
Tipo: Sandalias de plataforma con correa en el tobillo
Color: Negro con detalles en blanco
Material: Posiblemente cuero o material sintético similar
Altura del tacón: Alto, plataforma
Diseño: Punta abierta, correa en el tobillo con detalle de lazo, contraste de color blanco

Accesorios (opcional):
No se observan accesorios adicionales visibles en la imagen.","https://assets.vogue.com/photos/65ae6a2187f518f9fd45eac9/master/w_2240,c_limit/00001-schiaparelli-spring-2024-couture-credit-gorunway.jpg",Schiaparelli,Primavera-verano,2024,Alta costura,París
2024_03_06_17_42,"Ropa:

Número de piezas: 2
Prenda principal:
Tipo: Chaqueta
Color: Rosa con detalles en blanco y rojo
Material: Tweed
Categoría: Traje de dos piezas
Diseño: Estructurado
Textura: Texturizado
Estampado: Cuadrícula
Mangas: Largas con detalles embellecidos en los puños
Cuello: Redondo
Escote: No aplica
Largo: A la cadera
Detalles: Cierre frontal con botones, bolsillos decorativos, detalles en rojo en el borde, puños con aplicaciones brillantes

[Tipo de prenda]: Falda
Color: Rosa con detalles en blanco y rojo
Material: Tweed
Diseño: Lápiz
Largo: Midi
Detalles: Corte a la altura de la rodilla, textura acorde con la chaqueta, detalles en rojo en el borde
Estampado: Cuadrícula

Zapatos:
Tipo: Tacones
Color: Rosa pálido
Material: Satén o similar
Altura del tacón: Medio
Diseño: Con lazo decorativo en la punta

Accesorios (opcional):
[Tipo de accesorio]: Guantes
Color: Rojo
Material: Desconocido (posiblemente seda o un material elástico con acabado satinado)
Estilo: Largos, embellecidos con aplicaciones brillantes

[Tipo de accesorio]: Embrague (bolso de mano)
Color: Rojo
Material: Desconocido
Estilo: Rígido, estructurado","https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=682,height=1024/m/53a6/a972/8b80/cb35/a869/c125/03a5/ba1c/b811/9f80/9f80.jpg",Georges Hobeika,Primavera-verano,2024,Alta costura,París
2024_03_06_17_43,"Ropa:

Número de piezas: [2]

Prenda principal:
Tipo: [Vestido]
Color: [Marrón]
Material: [Probablemente algodón o una mezcla que simula lino]
Categoría: [Moda femenina, alta costura]
Diseño: [Estilo sobretodo con cinturón]
Textura: [Parece lisa con alguna estructura]
Estampado: [Ninguno]
Mangas: [Cortas tipo capa]
Cuello: [No tiene]
Escote: [En V]
Largo: [Hasta el tobillo]
Detalles: [Corte en capas, cinturón incorporado, estructura voluminosa en las mangas]

Otras prendas (opcional):
[Pantalones]: [Marrón], [Material coordinado con el vestido], [Diseño simple], [Largo a juego con el vestido], [Sin detalles adicionales]

Zapatos:
Tipo: [Zapatos de tacón]
Color: [Marrón o tono nude]
Material: [Sin una visión cercana, desconocido, puede ser cuero o imitación]
Altura del tacón: [Medio]
Diseño: [Parece clásico, posiblemente punta cerrada]

Accesorios (opcional):
[Pendientes]: [Dorado], [Metal], [Estilo minimalista]","https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=682,height=1024/m/f9eb/122d/0482/6ddc/a3cd/13fd/ae89/519a/5697/3e5f/3e5f.jpg",Dior,Primavera-verano,2024,Alta costura,París
2024_03_06_17_43,"Ropa:

Número de piezas: [4]
Prenda principal:
Tipo: [Vestido]
Color: [Negro y plateado]
Material: [Lentejuela o material similar reflectante]
Categoría: [Alta costura]
Diseño: [Ajustado]
Textura: [Brillante y texturizado]
Estampado: [No aplica]
Mangas: [Sin mangas]
Cuello: [No aplica]
Escote: [Recto]
Largo: [Corto]
Detalles: [Aplique decorativo en forma de libélula en el escote, terminación con flecos en la parte inferior del vestido]
Otras prendas (opcional):
[Capa]: [Transparente con borde plateado], [Material traslúcido y brillante], [Rectangular], [Largo], [Borde brillante], [Sin mangas], [Sin cuello], [Sin escote]
Zapatos:
Tipo: [Tacones altos]
Color: [Negro]
Material: [Cuero o material sintético similar]
Altura del tacón: [Alto]
Diseño: [Con tiras y hebilla en el tobillo]
Accesorios (opcional):
[Diadema]: [Plateada], [Material brillante], [Estilo turbante]
[Tocado]: [Transparente con borde plateado], [Material similar a tul o malla brillante], [Estilo esférico]","https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/ceb9/3b9a/57bc/dff0/bcc2/ae68/a24d/180c/9408/8624/8624.jpg",Rahul Mishra,Primavera-verano,2024,Alta costura,París
2024_03_06_17_43,"Ropa:

Número de piezas: 2
Prenda principal:
Tipo: Top corto
Color: Blanco
Material: [Material no identificable a partir de la imagen]
Categoría: Ropa femenina
Diseño: Sencillo
Textura: Lisa
Estampado: Ninguno
Mangas: Sin mangas
Cuello: Ausente
Escote: Recto
Largo: Corto
Detalles: Recorte recto
Otras prendas (opcional):
Pantalón largo: Blanco, [Material no identificable a partir de la imagen], Sencillo, Largo, Cintura alta, Estampado Ninguno
Zapatos:
Tipo: [Tipo de zapato no visible en la imagen]
Color: [Color no visible en la imagen]
Material: [Material no identificable a partir de la imagen]
Altura del tacón: [Altura no visible en la imagen]
Diseño: [Diseño no visible en la imagen]
Accesorios (opcional):
Estructura metálica con flores: Plateado, Metal, Artístico
Diadema: Negra, [Material no identificable a partir de la imagen], Sencillo
","https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/8f73/8bb4/98b9/b019/9563/a75f/e99b/1378/54ef/1781/1781.jpg",Juana Martin,Primavera-verano,2024,Alta costura,París
2024_03_06_17_44,"Ropa:

Número de piezas: [3]
Prenda principal:
Tipo: [Vestido]
Color: [Marrón, Bronce, con estampado multicolor]
Material: [Seda o acabado similar sedoso]
Categoría: [Alta costura]
Diseño: [Recto con paneles]
Textura: [Liso]
Estampado: [Gráfico de arquitectura]
Mangas: [Manga tres cuartos]
Cuello: [Sin cuello]
Escote: [Cerrado]
Largo: [Largo hasta el suelo]
Detalles: [Corte geométrico en contraste, dobladillo visible, estructura rígida en los hombros]
Otras prendas (opcional):
[Cubrecabeza]: [Bronce/marrón], [Material afro], [Sólido], [Grande y redondo], [Diseño esférico]
[Zapatos]: [No visibles]
Accesorios (opcional):
[Sin accesorios visibles]","https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/335d/0724/0cba/7a76/5181/6103/4276/8081/d4d4/1525/1525.jpg",Maison Sara Chraibi,Primavera-verano,2024,Alta costura,París
2024_03_06_17_44,"Ropa:

Número de piezas: 1
Prenda principal:
Tipo: Body con tocado floral
Color: Negro (body), Blanco (flores)
Material: Tejido elástico (body), Tela sintética o seda (flores)
Categoría: Ropa de alta costura
Diseño: Ajustado
Textura: Lisa (body), Voluminosa y texturizada (flores)
Escote: Off-shoulder (hombros descubiertos)
Largo: Corto
Detalles: Tocado de flores sobredimensionado, diseño ceñido al cuerpo
Zapatos:
Tipo: Sandalias de plataforma
Color: Negro con detalles dorados
Material: Cuero o material sintético
Altura del tacón: Alta
Diseño: Plataforma con varias correas y hebilla
Accesorios (opcional):
[Pendientes]: [Dorados], [Presumiblemente metal], [Minimalista]","https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/1f17/dd6c/8864/ef0b/9a89/095d/9739/90cd/9af3/408e/408e.jpg",Giambattista Valli,Primavera-verano,2024,Alta costura,París
2024_03_06_17_44,"Ropa:

Número de piezas: [4]
Prenda principal:
Tipo: [Chaqueta]
Color: [Blanco crudo]
Material: [Tela de lana o mezcla de lana]
Categoría: [Vestimenta formal / Abrigo]
Diseño: [Entallado con estructura reforzada]
Textura: [Textura con ligero relieve, posiblemente bouclé]
Estampado: [Ninguno]
Mangas: [Largas]
Cuello: [Cuello alto y redondeado]
Escote: [No aplicable]
Largo: [A la cintura]
Detalles: [Botones delanteros, bolsillos simulados, detalles de costura acentuados]
Otras prendas (opcional):
[Blusa o top]: [Blanco], [Tela suave, probablemente algo elástica], [Diseño simple], [Largo a la cadera], [Sin detalles adicionales visibles], [Sin estampado], [Mangas largas], [Cuello no visible], [Escote no visible]
[Pantalón]: [Blanco], [Material elástico, posiblemente algodón con elastano], [Diseño ajustado], [Largo completo], [Sin detalles adicionales visibles], [Sin estampado]
Zapatos:
Tipo: [Zapatos de tacón con correa]
Color: [Negro y blanco]
Material: [Cuero o material sintético brillante]
Altura del tacón: [Medio]
Diseño: [Bicolor, puntera redonda, correa en el empeine]
Accesorios (opcional):
[Aretes]: [No visible], [No visible], [No visible]
[Cabello]: [Peinado natural recogido hacia atrás]","https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=682,height=1024/m/5ac1/34ad/4c05/040b/db1d/7ee4/e348/e348/9e3e/69e2/69e2.jpg",Chanel,Primavera-verano,2024,Alta costura,París
2024_03_06_17_44,"Ropa:

Número de piezas: [3]
Prenda principal:
Tipo: [Vestido]
Color: [Blanco]
Material: [Encaje con subcapa posiblemente de seda o satén]
Categoría: [Vestimenta Formal/Cocktail]
Diseño: [Ajustado con cinturón]
Textura: [Encaje floral, transparencias en las mangas]
Estampado: [Floral]
Mangas: [Largas y transparentes]
Cuello: [Solapas tipo esmoquin]
Escote: [Ninguno, el cierre es hasta arriba]
Largo: [Corto]
Detalles: [Cinturón con hebilla, solapas anchas, dobladillo irregular, transparencias en las mangas]
Otras prendas (opcional):
Zapatos:
Tipo: [Zapatos de tacón]
Color: [Beige/Nude]
Material: [Posiblemente cuero o material sintético con acabado brillante]
Altura del tacón: [Medio-Alto]
Diseño: [Clásico]
Accesorios (opcional):
[Tipo de accesorio]: [No visibles en la imagen]
[Tipo de accesorio]: [No visibles en la imagen]",https://media.fashionnetwork.com/m/69c2/5716/db39/6bbd/8c48/1954/95e2/d25e/ed7c/2064/2064.jpg,Alexis Mabille,Primavera-verano,2024,Alta costura,París
2024_03_06_17_45,"Ropa:

Número de piezas: 1
Prenda principal:
Tipo: Capa o manto
Color: Beige
Material: Tejido que parece ser mezcla de lana o tela similar de peso medio
Categoría: Prenda de vestir exterior / Formal
Diseño: Diseño largo fluyente con detalles ornamentales
Textura: Lisa con zonas de adorno texturizado
Estampado: No visible
Mangas: Manga larga
Cuello: Cuello tipo capucha
Escote: No visible
Largo: Largo hasta el suelo
Detalles: Bordados o aderezos metálicos en los puños, detalle lineal a lo largo del frente posiblemente con incrustaciones o adorno similar
Otras prendas (opcional):
No se pueden identificar otras prendas bajo la capa
Zapatos:
Tipo: No visible
Color: No visible
Material: No visible
Altura del tacón: No visible
Diseño: No visible
Accesorios (opcional):
No se observan accesorios visibles.","https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=682,height=1024/m/618e/1c1f/9649/29e3/54ef/5f62/ada9/7faa/d062/a7d5/a7d5.jpg",Stephane Rolland,Primavera-verano,2024,Alta costura,París
